RNA,Locus
XM_036941925.1,LOC110486629
XM_036941922.1,LOC110486629
XM_036941919.1,LOC118936398
XM_036941921.1,LOC118936398
XM_036941920.1,LOC118936398
XM_036941916.1,LOC110511878
XM_036941918.1,LOC110511878
XM_036941917.1,LOC110511878
XM_036941948.1,LOC118938355
XM_036941947.1,LOC118938355
XM_036941943.1,LOC110485290
XM_036941937.1,LOC118938354
XM_036941936.1,LOC118938354
XR_005035649.1,LOC110487480
XM_036941956.1,LOC110487480
XM_036941952.1,LOC110487480
XM_036941951.1,LOC110487480
XM_036941954.1,LOC110487480
XM_036941950.1,LOC110487480
XM_036941957.1,LOC110487480
XM_036941953.1,LOC110487480
XM_036941955.1,LOC110487480
XM_036941961.1,LOC118938356
XM_036941959.1,LOC118938356
XM_036941960.1,LOC118938356
XM_036941962.1,LOC118938356
XM_036941958.1,LOC118938356
XM_036941963.1,LOC110487107
XM_036941964.1,LOC110487107
XM_036941966.1,LOC118936529
XM_036941965.1,LOC118936529
XM_036939783.1,LOC118938100
NM_001165196.1,annotated by transcript or proteomic data
XM_036939712.1,emp2
XM_036941968.1,LOC118938357
XM_036941967.1,LOC118938357
XM_036941969.1,LOC118938358
XM_036939784.1,LOC118938101
XM_036939786.1,LOC118938102
XM_036942484.1,mRNA
XM_036942518.1,LOC118938474
XM_036942476.1,LOC118936531
XM_036942525.1,LOC118938486
XM_036942502.1,LOC110518344
XM_036942503.1,LOC110518344
XR_005035748.1,LOC118938480
XR_005035743.1,LOC118938476
XM_036942478.1,LOC110518489
XR_005035742.1,LOC118938471
XM_036942512.1,LOC118938471
XM_036942513.1,LOC118938471
XM_036939787.1,LOC110519883
XM_036942517.1,LOC110519882
XM_036942520.1,LOC118938475
XM_021593167.2,LOC110513226
XM_036942483.1,LOC118938463
XM_036942481.1,LOC118938463
XR_002471880.2,LOC110512404
XM_036942526.1,LOC118938487
XR_005035751.1,LOC118938482
XM_036942486.1,LOC110512204
XM_036942514.1,LOC118938472
XM_036942501.1,LOC118938466
XM_036942521.1,LOC110515071
XR_005035745.1,LOC118938478
XM_036942511.1,LOC110490700
XM_036942509.1,LOC110518345
XM_036942508.1,LOC110518345
XM_036942505.1,LOC118938467
XM_036942485.1,LOC118938465
XM_036942507.1,LOC118938469
XR_005035749.1,LOC118938481
XM_036942470.1,LOC110515254
XM_036942506.1,LOC118938468
XM_036942510.1,LOC118938470
XM_036942527.1,mRNA
XM_036942528.1,LOC118938489
XR_005035746.1,LOC118938479
XR_005035747.1,LOC118938479
XM_036942522.1,LOC110485296
XM_036942516.1,LOC118938473
XM_036942504.1,LOC118936532
XR_005035744.1,LOC118938477
XR_005035741.1,LOC110485294
XM_036942499.1,LOC110485294
XM_036942497.1,LOC110485294
XM_036942498.1,LOC110485294
XM_036942500.1,LOC110485294
XM_036942494.1,LOC110538874
XM_036942495.1,LOC110538874
XM_036942492.1,LOC110538874
XM_036942493.1,LOC110538874
XM_036942496.1,LOC110538874
XM_036942487.1,LOC110485295
XM_036942489.1,LOC110485295
XM_036942490.1,LOC110485295
XM_036942488.1,LOC110485295
XM_036942479.1,LOC118938462
XM_036942480.1,LOC118938462
XM_036942475.1,LOC110487488
XM_036942473.1,LOC110487488
XR_005035750.1,LOC110487499
XM_036942477.1,LOC110539067
XM_021559404.2,LOC110487472
XM_036942472.1,LOC110487469
XM_021559401.2,LOC110487469
XM_036942471.1,unclassified transcription discrepancy
XM_036941970.1,LOC110487485
XM_036941971.1,LOC110487485
XM_036941972.1,LOC110487485
XM_036941973.1,LOC110517069
XM_036941974.1,LOC110512740
XM_036941975.1,LOC110512740
XM_036941976.1,LOC110512740
XM_036941978.1,LOC118938359
XM_036939713.1,kt3k
XM_036939714.1,kt3k
NM_001165214.1,annotated by transcript or proteomic data
XM_036941979.1,arl16
XM_036941980.1,LOC110538842
XM_036941981.1,LOC110538842
XM_036942629.1,LOC118938558
XM_036941982.1,LOC110538856
XM_036939788.1,LOC110539059
XM_036941987.1,si:dkey-120c6.5
XM_036941988.1,si:dkey-120c6.5
XM_036941986.1,LOC110538836
XM_036941983.1,LOC110538836
XM_036941984.1,LOC110538836
XM_036941985.1,LOC110538836
XM_036941989.1,cldnk
XM_036941991.1,hgs
XM_036941992.1,hgs
XM_036941993.1,hgs
XM_036941994.1,hgs
XM_036941998.1,hgs
XM_036941995.1,hgs
XM_036941997.1,hgs
XM_036941999.1,hgs
XM_036939789.1,zgc:103625
XM_036942000.1,mrpl12
XR_005035650.1,LOC118938360
XR_005035651.1,LOC118938360
XM_036942002.1,LOC110487121
XM_036942001.1,LOC110487121
XM_036942004.1,LOC110487121
XM_036942003.1,LOC110487121
XM_036942005.1,gcgra
XM_036942008.1,gcgra
XM_036942007.1,gcgra
XM_036942006.1,gcgra
XR_005035656.1,LOC118938361
XR_005035652.1,LOC118938361
XR_005035653.1,LOC118938361
XR_005035654.1,LOC118938361
XR_005035655.1,LOC118938361
XM_036939790.1,LOC118938103
XM_036939791.1,LOC118938104
XR_005035657.1,LOC118938362
XM_036939792.1,LOC110518542
XM_036942009.1,LOC110487129
XM_036942010.1,LOC110487129
XM_036942012.1,LOC110487129
XM_036942011.1,LOC110487129
XM_036942014.1,LOC110487133
XM_036942013.1,LOC110487133
XM_036942017.1,LOC110487133
XM_036942016.1,LOC110487133
XM_036942018.1,LOC110487133
XM_036942015.1,LOC110487133
XM_036942019.1,LOC110487133
XM_036942024.1,LOC110487135
XM_036942023.1,LOC110487135
XM_036942022.1,LOC110487135
XM_036942025.1,LOC110487135
XR_005035659.1,LOC118938363
XR_005035658.1,LOC118938363
XM_036942027.1,LOC110487134
XM_036942026.1,LOC110487134
XM_021559059.2,LOC110487134
XM_036942021.1,LOC110487123
XM_036942020.1,LOC110487123
XM_036942029.1,LOC118938364
XM_036942028.1,LOC118938364
XM_036942030.1,LOC118938364
XM_036942031.1,LOC118938365
XM_036942032.1,LOC118938365
XM_036939794.1,LOC118938105
XM_036942033.1,LOC110485326
XR_005035660.1,LOC110487114
XM_036942035.1,LOC110487114
XM_036942034.1,LOC110487114
XM_036942038.1,zgc:86896
XM_036942036.1,zgc:86896
XM_036942037.1,zgc:86896
XM_036942039.1,LOC110485311
XM_036942040.1,LOC110485310
XR_005035661.1,LOC118938366
XM_036942042.1,LOC110485309
XM_036942044.1,LOC110487085
XM_036942043.1,LOC110487085
XM_036942046.1,LOC110487094
XM_036942047.1,LOC110487094
XM_036942045.1,LOC110487094
XM_036942048.1,LOC110487094
XM_036942049.1,LOC110487092
XM_036942050.1,LOC110485314
XM_036942051.1,LOC110539075
XM_036942056.1,scpep1
XM_036942055.1,scpep1
XM_036939795.1,LOC118938106
XM_036942052.1,LOC118938367
XM_036942054.1,LOC118938367
XM_036942053.1,LOC118938367
trnat,tRNA
XR_005035662.1,LOC110538806
XM_036942057.1,LOC110519516
XM_036942059.1,crlf3
XM_036942058.1,crlf3
XR_005035663.1,LOC110538810
XR_005035667.1,LOC110538810
XR_005035664.1,LOC110538810
XR_005035668.1,LOC110538810
XR_005035666.1,LOC110538810
XR_005035669.1,LOC110538810
XR_005035665.1,LOC110538810
XM_036942060.1,LOC110538810
XM_021625787.2,LOC110538810
XM_021625789.2,LOC110538810
XM_021625788.2,LOC110538810
XM_021625778.2,LOC110538801
XM_021625773.2,LOC110538798
XM_036942063.1,LOC110539051
XM_036942062.1,LOC110539051
XR_005035670.1,LOC118938368
XR_005035671.1,LOC118938368
XM_036942064.1,LOC110539049
XM_036942066.1,LOC110515631
XM_036942067.1,LOC110515631
XR_005035672.1,LOC110514604
XM_036942068.1,LOC110538790
XM_036942069.1,LOC118936316
XM_036942070.1,LOC118938369
XM_036942073.1,LOC110538792
XM_036942072.1,LOC110538792
NM_001168330.1,annotated by transcript or proteomic data
XM_036939796.1,LOC110538849
XR_005035673.1,LOC118938370
XM_036942074.1,LOC110516591
XM_036942075.1,LOC110516591
XM_036942076.1,LOC118938371
XM_036942077.1,LOC118938371
XM_036942081.1,LOC110487146
XM_036942078.1,LOC110487146
XM_036942080.1,LOC110487146
XM_036942082.1,LOC110487146
XR_005035674.1,LOC118936389
XR_005035675.1,LOC118936389
XM_036942083.1,LOC118936389
XM_036942631.1,LOC118938559
XM_036942084.1,LOC118938372
XM_036942085.1,LOC118938372
XM_036942086.1,LOC118938372
XM_036942087.1,LOC110487145
XM_036939798.1,LOC110516823
XM_036942089.1,LOC110510859
XM_036942091.1,LOC110510860
XM_036942090.1,LOC110510860
XR_005035676.1,LOC118938373
XM_036942095.1,LOC110494404
XM_036942093.1,LOC110494404
XM_036942092.1,LOC110494404
XM_036942094.1,LOC110494404
XM_036942098.1,LOC118936530
XM_036942096.1,LOC110494400
XM_036942097.1,LOC110494400
XM_036942099.1,LOC118938374
XM_036942100.1,LOC110494397
XM_036942101.1,LOC118938375
XM_036942102.1,LOC118938376
XM_036942103.1,LOC110487560
XM_036942105.1,LOC110487560
XM_036942104.1,LOC110487560
XR_005035677.1,LOC118938377
XM_036939799.1,LOC118938107
XM_036942107.1,LOC118938378
XM_036942108.1,LOC118938378
XM_036942110.1,LOC118938378
XM_036942111.1,LOC118938378
XM_036942109.1,LOC118938378
XM_036939800.1,LOC118938108
XM_036942118.1,LOC118938379
XM_036942114.1,LOC118938379
XM_036942116.1,LOC118938379
XM_036942119.1,LOC118938379
XM_036942113.1,LOC118938379
XM_036942112.1,LOC118938379
XM_036942117.1,LOC118938379
XR_005035678.1,LOC118938380
XM_036942120.1,LOC110517414
XM_036942122.1,LOC110517412
XM_036942121.1,LOC110517412
XM_036942123.1,LOC110517412
XM_036942125.1,abat
XR_005035679.1,LOC118938381
XM_036942126.1,LOC110512991
XR_005035681.1,LOC118938382
XR_005035680.1,LOC118938382
XM_036942127.1,LOC118938383
XM_036942128.1,dnase1
XM_036942129.1,dnase1
XR_005035683.1,LOC110487136
XR_005035682.1,LOC110487136
XR_005035684.1,LOC110487136
XM_036942135.1,LOC110487136
XM_036942133.1,LOC110487136
XM_036942132.1,LOC110487136
XM_036942131.1,LOC110487136
XM_036942134.1,LOC110487136
XM_036942136.1,LOC110487137
XM_036942137.1,LOC110539061
XM_036942138.1,LOC110539061
XM_036942140.1,LOC118938384
XM_036942139.1,LOC118938384
XM_036942141.1,LOC110539063
XM_036942142.1,LOC118938385
XM_036942145.1,LOC118938386
XM_036942143.1,LOC118938386
XM_036942144.1,LOC118938386
XR_005035685.1,LOC118938387
XR_005035686.1,LOC118938388
XM_036942658.1,LOC110488491
XM_036942657.1,LOC110488491
XR_005036026.1,LOC118938769
XR_002468431.2,LOC110488533
XM_021560765.2,LOC110488533
XM_036942659.1,unclassified transcription discrepancy
XM_036943653.1,LOC118938770
XR_005036027.1,LOC118938771
XM_036942660.1,LOC110488494
XM_036942661.1,LOC110488494
XM_036942662.1,LOC110488494
XM_036942664.1,LOC110512013
XM_036942663.1,LOC110512013
XM_036942667.1,si:ch211-255i20.3
XM_036942666.1,si:ch211-255i20.3
XM_036942665.1,si:ch211-255i20.3
XR_005035891.1,LOC110488511
XM_021560769.2,LOC110488539
XM_036942669.1,LOC110488539
XM_036942668.1,LOC110488539
XM_021560772.2,LOC110488540
XM_021560773.2,LOC110488540
XM_021560774.2,LOC110488541
XM_021560775.2,LOC110488542
XM_021560776.2,LOC110488543
XM_021560777.2,LOC110488544
XM_036942670.1,LOC110488545
XM_036942671.1,LOC110488545
XM_021560778.2,LOC110488545
XM_021560780.2,LOC110488545
XM_021560781.2,LOC110488546
XM_021560782.2,LOC110488546
XM_021560784.2,LOC110488547
XM_021560783.2,LOC110488547
XM_021560785.2,LOC110488547
XM_021560791.2,zgc:66433
XM_021560790.2,zgc:66433
XM_036942673.1,zgc:66433
XM_036942674.1,zgc:66433
XM_036942672.1,zgc:66433
XM_021560789.2,zgc:66433
XM_021560793.2,LOC110488549
XM_021560795.2,LOC110488550
XM_021560796.2,LOC110488550
XM_036943654.1,LOC110489459
XM_036942676.1,LOC110488551
XM_036942675.1,LOC110488551
XR_005035893.1,LOC110488552
XR_005035892.1,LOC110488552
XM_036942682.1,LOC110488552
XM_036942677.1,LOC110488552
XM_036942678.1,LOC110488552
XM_036942680.1,LOC110488552
XM_036942679.1,LOC110488552
XM_036942681.1,LOC110488552
XM_036942683.1,LOC110488553
XM_021560801.2,LOC110488554
XR_002468433.2,LOC110488555
XR_002468434.2,LOC110488555
XM_021560804.2,LOC110488555
XM_021560802.2,LOC110488555
XR_005035895.1,LOC110488557
XR_005035894.1,LOC110488557
XR_002468436.2,LOC110488557
XR_005035896.1,LOC118938689
XM_021560806.2,LOC110488558
XR_002468438.2,LOC110488559
XR_002468440.2,LOC110488560
XR_002468439.2,LOC110488560
XR_002468441.2,LOC110488560
XR_005036035.1,LOC118938778
XM_036942684.1,LOC110488561
XM_021560807.2,LOC110488561
XM_021560809.2,LOC110488561
XR_005035900.1,LOC110488563
XR_005035899.1,LOC110488563
XR_005035898.1,LOC110488563
XR_005035897.1,LOC110488563
XM_036942685.1,fbxo38
XM_021560810.2,fbxo38
XM_021560812.2,fbxo38
XM_036942686.1,fbxo38
XR_002468445.2,LOC110488564
XM_036942690.1,csnk1a1
XM_036942687.1,csnk1a1
XM_036942688.1,csnk1a1
XM_036942695.1,csnk1a1
XM_036942691.1,csnk1a1
XM_036942692.1,csnk1a1
XM_036942689.1,csnk1a1
XM_036942696.1,csnk1a1
XM_021560823.2,csnk1a1
XM_036942693.1,csnk1a1
XM_021560824.2,csnk1a1
XM_021560826.2,csnk1a1
XM_036942694.1,csnk1a1
XM_021560825.2,csnk1a1
XM_036942698.1,LOC110488567
XM_021560827.2,LOC110488567
XM_036942699.1,LOC110488569
XM_036942701.1,LOC110488569
XM_036942700.1,LOC110488569
XM_036942702.1,LOC110513958
XM_036942707.1,LOC110488571
XR_002468294.2,roa0
NM_001165161.1,annotated by transcript or proteomic data
XM_036942705.1,LOC110488574
XM_036942706.1,LOC110488574
XM_021560838.2,LOC110488572
XM_021560839.2,LOC110488572
XM_021560836.2,LOC110488572
XM_036942703.1,LOC110488572
XM_021560842.2,LOC110488575
XM_021560841.2,LOC110488575
XM_036942646.1,casp
XM_036942645.1,casp
NM_001124493.2,annotated by transcript or proteomic data
XM_036942709.1,LOC110488577
XM_036942708.1,LOC110488577
XM_036942711.1,LOC110488577
XM_021560846.2,LOC110488578
XM_021560847.2,LOC110488578
XM_021560845.2,LOC110488578
XM_036942712.1,LOC110488578
XM_021560848.2,LOC110488579
XM_036942713.1,LOC110488579
XR_002468576.2,LOC110489462
XR_005035901.1,LOC110488581
XM_036942714.1,LOC110488581
XM_021560849.2,LOC110488581
XR_002468447.2,LOC110488584
NM_001124675.1,annotated by transcript or proteomic data
XM_021560851.2,LOC110488586
XM_021560850.2,LOC110488586
XM_036942715.1,egr1
XR_002468449.2,LOC110488588
XM_036942716.1,reep2
XM_021560857.2,LOC110488590
XM_021560855.2,LOC110488590
XM_021560856.2,LOC110488590
XM_036942718.1,LOC110488591
XM_036942717.1,LOC110488591
XM_036942719.1,LOC110488592
XM_036942720.1,LOC110488592
XM_036942721.1,LOC110488592
XM_036942723.1,LOC110488595
XM_036942722.1,LOC110488595
XM_021560860.2,LOC110488595
XM_021560862.2,phykpl
XM_021560864.2,phykpl
XM_021560867.2,LOC110488598
XM_021560868.2,LOC110488598
XM_021560865.2,LOC110488598
NM_001124668.1,annotated by transcript or proteomic data
XM_036942728.1,LOC110488599
XM_036942726.1,LOC110488599
XM_036942729.1,LOC110488599
XM_036942724.1,LOC110488599
XM_036942725.1,LOC110488599
XM_036942727.1,LOC110488599
XM_036942733.1,LOC110488599
XM_036942730.1,LOC110488599
XM_036942734.1,LOC110488599
XM_036942731.1,LOC110488599
XM_021560870.2,LOC110488600
XM_021560871.2,LOC110488600
XR_002468452.2,LOC110488601
XR_002468453.2,LOC110488602
XM_036942735.1,LOC110488603
XM_021560879.2,LOC110488605
XM_021560876.2,LOC110488604
XM_021560878.2,LOC110488604
XM_021560877.2,LOC110488604
XM_021560874.2,LOC110488604
XM_021560875.2,LOC110488604
XM_036942738.1,LOC110488607
XM_021560880.2,LOC110488607
XM_036942737.1,LOC110488607
XM_036942739.1,LOC110488608
XM_021562166.2,LOC110489463
XM_036942741.1,LOC110488609
XM_036942740.1,LOC110488609
XM_021560885.2,LOC110488610
XM_021560887.2,LOC110488611
XM_021560888.2,LOC110488612
XM_036942742.1,LOC110488614
XM_021560894.2,LOC110488615
XM_036942743.1,LOC110488616
XM_036942744.1,LOC110488616
XM_036942745.1,LOC110488616
XM_036942746.1,LOC110488618
XM_021560897.2,LOC110488617
XM_021560898.2,LOC110488617
XM_021560900.2,LOC110488619
XM_021560901.2,LOC110488619
XM_021559480.2,LOC100136156
NM_001124442.1,annotated by transcript or proteomic data
XM_021560902.2,slc35a4
XM_021560904.2,LOC110488621
XM_021560903.2,LOC110488621
XM_021559486.2,LOC100136949
XM_021559488.2,LOC100136949
NM_001124738.1,annotated by transcript or proteomic data
XM_021560909.2,LOC110488623
XM_021560906.2,LOC110488623
XM_021560910.2,LOC110488624
XM_021560912.2,LOC110488626
XM_021560913.2,LOC110488627
XM_021560914.2,LOC110488627
XM_021560915.2,si:zfos-741a10.3
XM_021560917.2,LOC110488630
XM_021560919.2,LOC110488631
XM_021560921.2,LOC110488631
XM_021560920.2,LOC110488631
XM_021560922.2,tmco6
XM_036942748.1,LOC110488634
XM_036942749.1,LOC110488634
XM_021560928.2,LOC110488635
XM_036942751.1,LOC110488635
XM_036942750.1,LOC110488635
XM_036942752.1,rnf20
XM_036942753.1,rnf20
XM_036942754.1,rnf20
XM_021560932.2,LOC110488637
XM_021560933.2,LOC110488637
XM_021560946.2,LOC110488642
XM_021560947.2,LOC110488642
XM_021560939.2,LOC110488641
XM_021560945.2,LOC110488641
XM_021560941.2,LOC110488641
XM_021560943.2,LOC110488641
XM_021560942.2,LOC110488641
XM_021560944.2,LOC110488641
XM_021560937.2,LOC110488640
XM_036942755.1,LOC110488640
XM_021560938.2,LOC110488640
XM_021560935.2,LOC110488638
XM_021560936.2,LOC110488638
XM_021560934.2,LOC110488638
XM_021560949.2,LOC110488643
XM_021560948.2,LOC110488643
XM_036942757.1,LOC110487700
XM_036942758.1,LOC110487700
XM_021560950.2,wfs1b
XM_036942759.1,LOC110488646
XM_036942762.1,LOC110488646
XM_036942761.1,LOC110488646
XM_036942763.1,LOC110488650
XM_036942764.1,LOC110488650
XR_002468459.2,LOC110488653
XR_002468457.2,LOC110488653
XM_021560964.2,LOC110488649
XM_021560966.2,LOC110488654
NM_001165140.1,annotated by transcript or proteomic data
XM_036942766.1,LOC110488657
XM_036942765.1,LOC110488657
XM_021560968.2,LOC110488655
XM_021560967.2,LOC110488655
XM_036942768.1,LOC118938692
XM_036942769.1,LOC110488658
XM_036942770.1,LOC110488659
XM_036942774.1,LOC110488661
XM_036942775.1,LOC110488661
XM_036942772.1,LOC110488661
XM_036942771.1,LOC110488661
XM_036942773.1,LOC110488661
XM_036942794.1,LOC110488686
XM_036942798.1,LOC110488686
XM_036942782.1,LOC110488686
XM_036942792.1,LOC110488686
XM_036942793.1,LOC110488686
XM_036942789.1,LOC110488686
XM_036942790.1,LOC110488686
XM_036942791.1,LOC110488686
XM_036942788.1,LOC110488686
XM_036942785.1,LOC110488686
XM_036942786.1,LOC110488686
XM_036942783.1,LOC110488686
XM_036942787.1,LOC110488686
XM_036942784.1,LOC110488686
XM_036942807.1,LOC110488686
XM_036942799.1,LOC110488686
XM_036942796.1,LOC110488686
XM_036942801.1,LOC110488686
XM_036942797.1,LOC110488686
XM_036942800.1,LOC110488686
XM_036942805.1,LOC110488686
XM_036942806.1,LOC110488686
XM_036942803.1,LOC110488686
XM_036942795.1,LOC110488686
XM_036942802.1,LOC110488686
XM_036942804.1,LOC110488686
XM_036942780.1,LOC110488686
XM_036942778.1,LOC110488686
XM_036942779.1,LOC110488686
XM_036942776.1,LOC110488686
XM_036942777.1,LOC110488686
XR_005035905.1,LOC118938693
XM_021560984.2,LOC110488672
XM_021560991.2,LOC110488678
XM_021559614.2,LOC110487702
XM_021559620.2,LOC110487709
XM_021560999.2,LOC110488687
XM_021559624.2,LOC110487712
XM_021561003.2,LOC110488689
XM_021561004.2,LOC110488690
XM_036942812.1,LOC110488691
XM_036942825.1,LOC110488691
XM_036942814.1,LOC110488691
XM_036942808.1,LOC110488691
XM_036942830.1,LOC110488691
XM_036942824.1,LOC110488691
XM_036942809.1,LOC110488691
XM_036942810.1,LOC110488691
XM_036942826.1,LOC110488691
XM_036942831.1,LOC110488691
XM_036942827.1,LOC110488691
XM_036942813.1,LOC110488691
XM_036942829.1,LOC110488691
XM_036942811.1,LOC110488691
XM_036942818.1,LOC110488691
XM_036942815.1,LOC110488691
XM_036942816.1,LOC110488691
XM_036942819.1,LOC110488691
XM_036942823.1,LOC110488691
XM_036942821.1,LOC110488691
XM_036942822.1,LOC110488691
XM_036942820.1,LOC110488691
XM_021561005.2,LOC110488691
XM_021561007.2,LOC110488693
XM_021561008.2,LOC110488694
XM_036943571.1,LOC110487714
XR_005035907.1,LOC110488696
XR_005035908.1,LOC110488696
XR_005035909.1,LOC110488696
XR_005035906.1,LOC110488696
XM_036943574.1,LOC118938736
XM_036943575.1,LOC118938738
XM_036943576.1,LOC118938739
XM_036943577.1,LOC118938740
XM_036943578.1,LOC118938741
XM_036943583.1,LOC118938743
XM_021559630.2,LOC110487717
XR_005035910.1,LOC110487718
XM_036942833.1,LOC110487718
XM_036942837.1,LOC110487718
XM_036942836.1,LOC110487718
XM_036942839.1,LOC110487718
XM_036942834.1,LOC110487718
XM_036942838.1,LOC110487718
XM_036942841.1,LOC110487718
XM_036942843.1,LOC110487718
